CBSA_Name,metro_count,avg_access,avg_pop,avg_jobs,avg_LoWgWrks_byTr,avg_HiWgWrks_byTr,pct_LoWgWrks_byTr,pct_MeWgWrks_byTr
"Houston-Sugar Land-Baytown, TX",3036,0.06098113867897734,0.036649987,0.093842186,25312.70817704426,20246.540843214756,0.047882423,0.0490259
"Huntsville, AL",234,0.10085470085470086,0.034668375,0.069641076,3716.3690476190477,914.2435897435897,0.09457372,0.08322846
"Indianapolis-Carmel, IN",1069,0.07404389618456102,0.052642886,0.10152387,16381.819327731093,7316.429373246025,0.08516097,0.08760499
"Kansas City, MO-KS",1556,0.05621319069295302,0.03489356,0.06581574,13718.70340356564,5889.1060411311055,0.05973562,0.06290071
"Kennewick-Pasco-Richland, WA",186,0.02403225806451613,,,,,,
"Key West, FL",22,0.08227272727272728,,,,,,
"Kingsport-Bristol-Bristol, TN-VA",215,0.023488372093023256,,,,,,
"Klamath Falls, OR",67,0.16059701492537312,0.06667167,0.120286375,1315.875,315.3731343283582,0.20719178,0.20210277
"La Crosse, WI-MN",99,0.29414141414141415,0.29135537,0.48893496,6502.754098360656,3439.161616161616,0.35283527,0.3387642
"La Grande, OR",26,0.09846153846153846,,,,,,
"Lafayette, IN",132,0.1897727272727273,0.44391915,0.5922824,10550.013513513513,6857.280303030303,0.51300824,0.49248838
"Lakeland-Winter Haven, FL",331,0.10427046811665094,0.03376651,0.07689412,4462.833333333333,1149.643504531722,0.071284436,0.07266228
"Las Vegas-Paradise, NV",1294,0.13879574023226623,0.11377463,0.27071717,20085.1158221303,16562.123647604327,0.1187225,0.12627174
"Lawrence, KS",65,0.02569230769230769,,,,,,
"Lexington-Fayette, KY",334,0.11511976047904192,0.10872271,0.16527973,7639.622641509434,4363.125748502994,0.15855104,0.14456157
"Little Rock-North Little Rock-Conway, AR",472,0.08082090520744581,0.062459957,0.17708302,7198.657142857143,2662.8093220338983,0.09505687,0.088706695
"Los Angeles-Long Beach-Santa Ana, CA",8234,0.09138814327208582,0.04504342,0.056983437,64306.94720687538,61049.03449113432,0.048558798,0.05104173
"Louisville/Jefferson County, KY-IN",936,0.15486462116253857,0.089234106,0.1570624,16004.029527559054,9125.85576923077,0.11398151,0.105963506
"Madison, WI",374,0.16564171122994653,0.16559483,0.258977,15550.021857923497,11372.762032085562,0.21730654,0.21029453
"Manhattan, KS",1,,,,,,,
"Medford, OR",127,0.07976377952755906,0.03743353,0.15001382,1711.125,251.88976377952756,0.07918942,0.085885555
"Merced, CA",144,0.01798611111111111,,,,,,
"Miami-Fort Lauderdale-Pompano Beach, FL",3420,0.1075356712856852,0.034610853,0.04725526,25944.172735346358,19842.54356725146,0.051006943,0.05370616
"Michigan City-La Porte, IN",83,0.0508433734939759,,,,,,
"Milwaukee-Waukesha-West Allis, WI",1302,0.16091624772895077,0.14639033,0.14998761,49139.88902589396,34236.449308755764,0.25691375,0.27205393
"Minneapolis-St. Paul-Bloomington, MN-WI",2314,0.08048237853993476,0.073189504,0.12462615,28247.712021136063,30238.009507346585,0.07265993,0.07778757
"Missoula, MT",76,0.3455263157894737,0.5086342,0.691568,8110.561403508772,4909.789473684211,0.5602377,0.54963374
"Modesto, CA",308,0.16204545454545455,0.04790065,0.07961482,2974.8882352941177,2199.805194805195,0.06575065,0.06572261
"Mount Vernon-Anacortes, WA",80,0.022875,,,,,,
"Naples-Marco Island, FL",191,0.005235602094240838,,,,,,
"Nashville-Davidson--Murfreesboro--Franklin, TN",970,0.003041237113402062,,,,,,
"New Haven-Milford, CT",624,0.011201923076923078,,,,,,
"New York-Northern New Jersey-Long Island, NY-NJ-PA",14377,0.03201929317633709,0.0956619,0.14830326,115486.98227824975,196144.73047228213,0.065859,0.069384485
"North Port-Bradenton-Sarasota, FL",444,0.13282934307311267,,,,,,
"Oak Harbor, WA",56,0.14482142857142857,,,,,,
"Ocean City, NJ",89,0.17157303370786517,,,,,,
"Ogden-Clearfield, UT",305,0.187672131147541,,,,,,
"Olean, NY",80,0.0125,,,,,,
"Olympia, WA",161,0.15968944099378882,0.22716445,0.4674521,5097.5,5018.453416149068,0.22149561,0.22402456
"Oxnard-Thousand Oaks-Ventura, CA",428,0.03709227819755925,,,,,,
"Palm Bay-Melbourne-Titusville, FL",318,0.11267295597484277,0.018157694,0.040805053,2270.6785714285716,1010.2798742138365,0.043071352,0.040461548
"Pendleton-Hermiston, OR",75,0.06586666666666666,,,,,,
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",4306,0.1018247472860014,0.06798442,0.07619775,46160.969173859434,54412.49233627497,0.07630089,0.08689353
"Phoenix-Mesa-Glendale, AZ",2704,0.0007433431952662722,,,,,,
"Pittsburgh, PA",1919,0.12448362059586074,0.057204425,0.09804202,20719.66028708134,12699.337154768109,0.07572228,0.07958683
"Pittsfield, MA",143,0.040479821890278954,0.019803533,0.0327991,46.40625,18.335664335664337,0.042889323,0.04098069
"Port Angeles, WA",53,0.03056603773584906,,,,,,
"Portland-Vancouver-Hillsboro, OR-WA",1421,0.08611160150301003,0.09144036,0.15078948,26100.6717112922,26168.1287825475,0.12037556,0.12315732
"Poughkeepsie-Newburgh-Middletown, NY",524,0.044694656488549624,,,,,,
"Prineville, OR",16,0.13374999999999998,,,,,,
"Providence-New Bedford-Fall River, RI-MA",1205,0.15897653426853012,0.11393984,0.23130435,18080.398703403567,9822.72531120332,0.16036399,0.16939177
"Provo-Orem, UT",352,0.1240927167873982,,,,,,
"Punta Gorda, FL",104,0.009615384615384616,,,,,,
"Raleigh-Cary, NC",569,0.05395779641873464,0.04870025,0.14814475,7105.366834170854,4060.156414762742,0.0644244,0.06073373
"Red Bluff, CA",43,0.21465116279069768,,,,,,
"Redding, CA",131,0.15786259541984732,0.12150395,0.2402541,2268.0,978.0152671755725,0.13531412,0.12888591
"Reno-Sparks, NV",315,0.22257142857142856,0.43649796,0.6468177,21321.760638297874,14980.409523809523,0.50853276,0.5551093
"Riverside-San Bernardino-Ontario, CA",2122,0.07323719172170887,,,,,,
"Rochester, NY",829,0.13873949984705597,0.11277302,0.1758777,20955.97314049587,11718.205066344994,0.16030455,0.16489802
"Roseburg, OR",85,0.09161990142259317,0.041722786,0.075690664,1175.7368421052631,245.3294117647059,0.113073364,0.11526665
"Sacramento--Arden-Arcade--Roseville, CA",1372,0.15076622974966788,0.06512279,0.12750483,14346.863694267517,13465.810495626822,0.0732151,0.07713116
"Salem, OR",233,0.1919622599503684,0.22579084,0.35562047,7071.815789473684,5267.064377682404,0.19271879,0.19891778
"Salina, KS",51,0.32196078431372555,0.5009058,0.55455613,5625.742857142857,2958.2156862745096,0.64272165,0.66412616
"Salinas, CA",232,0.004310344827586207,,,,,,
"Salt Lake City, UT",680,0.2925614830034978,0.1861264,0.25194305,26028.929328621907,25107.625,0.18887685,0.19929084
"San Diego-Carlsbad-San Marcos, CA",1795,0.09995159752085404,0.057986457,0.09471647,20580.72767203514,22369.2930362117,0.07023516,0.0723067
"San Francisco-Oakland-Fremont, CA",2903,0.1226852737992212,0.10716394,0.16152017,42367.66053677932,68518.23734068206,0.113928005,0.1145135
"San Jose-Sunnyvale-Santa Clara, CA",1115,0.028339299223432233,,,,,,
"San Luis Obispo-Paso Robles, CA",160,0.1340625,,,,,,
"Santa Barbara-Santa Maria-Goleta, CA",313,0.014440894568690098,,,,,,
"Santa Cruz-Watsonville, CA",196,0.20857142857142857,0.2537947,0.3273048,6782.278911564626,7915.331632653061,0.2632259,0.2698889
"Santa Rosa-Petaluma, CA",387,0.13198966408268734,,,,,,
"Seaford, DE",133,0.05488721804511278,,,,,,
"Seattle-Tacoma-Bellevue, WA",2473,0.07250079990642566,0.08110832,0.17145321,18011.547319655856,28998.234532955925,0.059817765,0.06118767
"Seneca, SC",52,0.07653846153846154,,,,,,
"Shelton, WA",48,0.13489926966388396,,,,,,
"Spokane, WA",322,0.3084765184472539,0.2788567,0.42083284,14584.567226890757,11193.52795031056,0.286934,0.30279768
"Springfield, MA",504,0.11043500717844788,0.08863604,0.11929334,609.0705521472393,1121.640873015873,0.10757163,0.12939113
"St. Cloud, MN",126,0.054841269841269843,,,,,,
